Region_Name,state_name,lat,lng,population,density,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Arkansas County, AR",Arkansas,34.1192,-91.3789,690,267,4.6,4.7,6.2,5.6,6,7,7.6,8.7,9.8,15.7,18.6,12.2,8.8,7.3,5.4,4.2,3.4,3.3,3.5
"Arlington County, VA",Virginia,38.8786,-77.1011,229534,3408,1.6,2.4,3,2.7,2.5,2.3,2,2,2.5,4.3,4.1,3.8,3.5,3.5,3.3,2.8,2.6,2.5,2
"Armstrong County, PA",Pennsylvania,40.5938,-79.5564,1220,866,5.6,6.5,6.8,6.8,7,6.1,5.3,5,5.9,9.1,9.1,8.2,8,7.7,6.4,6.6,7.5,6.1,5
"Armstrong County, TX",Texas,35.1075,-101.3628,1187,267,3.1,3.3,4.5,4.7,3.9,3.9,3.5,3.4,3.5,4.5,4.9,4.8,4.5,4,3.2,2.6,2.8,2.5,2.8
"Aroostook County, ME",Maine,46.8662,-67.9919,7684,37,4.2,4.5,5.2,6.1,6.2,6.6,6.5,6.3,7,9.7,9.7,9.8,9.3,8.6,7.6,5.9,5.4,4.8,4.5
"Arthur County, NE",Nebraska,41.5718,-101.6923,116,144,2.2,3.3,4.5,5.3,4,4,3.5,3.7,3.8,5.8,7.8,6.1,6.5,7.6,5.3,4.5,5.7,5.6,4.9
"Ashe County, NC",North Carolina,36.3944,-81.4898,1290,229,5,7.9,8.4,6.7,5.4,5.7,5.6,5,6.7,12,11.8,11,10.4,9.2,6.9,6,4.8,4.2,3.6
"Ashland County, OH",Ohio,40.6584,-82.3144,721,353,4.2,4.5,6.3,7,7.3,6.5,5.5,6,7.5,12.5,11.9,9.9,8.1,8.1,6,5,5.1,4.9,4.5
"Ashland County, WI",Wisconsin,46.5986,-90.6618,466,47,5.5,6,7.4,7.2,6,5.9,6.1,6,6,10,11.1,10.2,9.3,9.2,7.5,6.3,5.4,4.6,4.1
"Ashley County, AR",Arkansas,33.1212,-91.5464,258,97,5.9,7.6,7.8,9.5,9.5,8.3,7.5,8.1,7.6,10.5,10.1,11.2,12.2,10.9,9.2,7.7,6.2,5.7,5.5
"Ashtabula County, OH",Ohio,41.5364,-80.8597,1598,312,5.1,6,7.5,8,7.6,7.4,6.7,7,8,13.6,13,10.9,9.4,9.5,7.2,6,6.1,5.9,5.3
"Asotin County, WA",Washington,46.4152,-117.0502,7396,1430,5.6,5.8,7,7.5,6.6,6.3,4.6,5.2,6.7,9.6,9.4,8.9,7.8,6.6,5.4,4.8,4.9,4.2,4.2
"Atascosa County, TX",Texas,28.9643,-98.4957,14638,454,4.1,4.6,6,6.7,5.7,5.3,4.6,4.1,4.7,7.4,8.2,8,6.7,6.2,4.9,4.8,5.3,4.2,3.8
"Atchison County, KS",Kansas,39.571,-95.3037,288,558,4.3,5.1,5.4,5.5,5.8,5.5,4.7,4.6,4.6,9.2,9.8,9,7.7,8.6,6.5,6.1,6.2,5.2,4.6
"Atchison County, MO",Missouri,40.3392,-95.392,589,488,2.7,3.4,3.9,4,4.7,4.7,3.9,4.4,4.8,7.3,8.6,8.2,6.4,5.9,5.4,4.5,4.6,3.5,2.6
"Athens County, OH",Ohio,39.4016,-81.9549,157,277,5.5,4.9,6.2,6.7,6.9,6.6,6,6.1,6.7,8.8,10.6,9.9,8.5,9,6.9,6.3,6.4,6.1,5.6
"Atkinson County, GA",Georgia,31.3358,-83.0446,1375,138,5.4,6.1,5.9,6,7.7,5.4,5.4,5.7,8.3,15,15.2,12.8,11.6,9.3,7.5,5.8,5.2,4.5,3.5
"Atlantic County, NJ",New Jersey,39.564,-74.5961,4174,148,4.7,4.7,6,6.2,5.5,5.3,5.8,5.9,6.8,11.9,12.3,12.5,12.7,11.7,10.6,9.5,7.4,7.2,5.9
"Atoka County, OK",Oklahoma,34.2356,-96.217,199,95,3.5,4.4,4.9,7.1,6.2,5.3,4.8,5.4,4.6,8.2,10,8.5,6.8,6.9,6.2,6.5,6.6,5.3,4.3
